"action","score","file","title","category","bodyLines","bodyChars","steps","avgStepBodyChars","sources","generatedBatch","issues"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-leaks-water.mdx","Mitsubishi Electric кондиционер: протекает","Кондиционеры и обогрев","8","1290","6","208","4","no","body has only 8 non-empty lines; body has only 1290 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-makes-noise.mdx","Mitsubishi Electric кондиционер: шумит или вибрирует","Кондиционеры и обогрев","8","1296","6","207","4","no","body has only 8 non-empty lines; body has only 1296 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-stops-mid-cycle.mdx","Mitsubishi Electric кондиционер: останавливается во время работы","Кондиционеры и обогрев","8","1334","6","216","4","no","body has only 8 non-empty lines; body has only 1334 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-wont-turn-on.mdx","Mitsubishi Electric кондиционер: не включается","Кондиционеры и обогрев","8","1298","6","210","4","no","body has only 8 non-empty lines; body has only 1298 characters"
"улучшить","60","src/content/errors/ac-heating-samsung-air-conditioner-error-code.mdx","Samsung air conditioner: показывает код ошибки","Кондиционеры и обогрев","8","1306","6","211","4","no","body has only 8 non-empty lines; body has only 1306 characters"
"улучшить","60","src/content/errors/ac-heating-samsung-air-conditioner-leaks-water.mdx","Samsung air conditioner: протекает","Кондиционеры и обогрев","8","1282","6","207","4","no","body has only 8 non-empty lines; body has only 1282 characters"
"улучшить","60","src/content/errors/ac-heating-samsung-air-conditioner-makes-noise.mdx","Samsung air conditioner: шумит или вибрирует","Кондиционеры и обогрев","8","1288","6","206","4","no","body has only 8 non-empty lines; body has only 1288 characters"
"улучшить","60","src/content/errors/ac-heating-samsung-air-conditioner-stops-mid-cycle.mdx","Samsung air conditioner: останавливается во время работы","Кондиционеры и обогрев","8","1326","6","214","4","no","body has only 8 non-empty lines; body has only 1326 characters"
"улучшить","60","src/content/errors/ac-heating-samsung-air-conditioner-wont-turn-on.mdx","Samsung air conditioner: не включается","Кондиционеры и обогрев","8","1290","6","208","4","no","body has only 8 non-empty lines; body has only 1290 characters"
"улучшить","60","src/content/errors/android-bystro-razryazhaetsya-batareya.mdx","Android: быстро разряжается батарея — как исправить","Мобильные устройства","8","1237","6","260","4","no","body has only 8 non-empty lines; body has only 1237 characters"
"улучшить","60","src/content/errors/android-ne-prihodyat-uvedomleniya.mdx","Android: не приходят уведомления — как исправить","Мобильные устройства","8","1234","6","260","4","no","body has only 8 non-empty lines; body has only 1234 characters"
"улучшить","60","src/content/errors/android-ne-rabotaet-kamera.mdx","Android: не работает камера — как исправить","Мобильные устройства","8","1229","6","260","4","no","body has only 8 non-empty lines; body has only 1229 characters"
"улучшить","60","src/content/errors/android-ne-rabotaet-sinhronizatsiya.mdx","Android: не работает синхронизация — как исправить","Мобильные устройства","8","1236","6","260","4","no","body has only 8 non-empty lines; body has only 1236 characters"
"улучшить","60","src/content/errors/android-ne-ustanavlivaetsya-prilozhenie.mdx","Android: не устанавливается приложение — как исправить","Мобильные устройства","8","1240","6","260","4","no","body has only 8 non-empty lines; body has only 1240 characters"
"улучшить","60","src/content/errors/android-oshibka-avtorizatsii.mdx","Android: ошибка авторизации — как исправить","Мобильные устройства","8","1229","6","260","4","no","body has only 8 non-empty lines; body has only 1229 characters"
"улучшить","60","src/content/errors/android-zavisaet-obnovlenie.mdx","Android: зависает обновление — как исправить","Мобильные устройства","8","1230","6","260","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/audio-video-bluetooth-headphones-disconnects-randomly.mdx","Bluetooth Headphones: самопроизвольно отключается","Аудио и видео","8","1238","6","270","4","no","body has only 8 non-empty lines; body has only 1238 characters"
"улучшить","60","src/content/errors/audio-video-bluetooth-headphones-driver-error.mdx","Bluetooth Headphones: ошибка драйвера","Аудио и видео","8","1226","6","279","4","no","body has only 8 non-empty lines; body has only 1226 characters"
"улучшить","60","src/content/errors/audio-video-bluetooth-headphones-firmware-update-failed.mdx","Bluetooth Headphones: ошибка обновления прошивки","Аудио и видео","8","1237","6","273","4","no","body has only 8 non-empty lines; body has only 1237 characters"
"улучшить","60","src/content/errors/audio-video-bluetooth-headphones-low-performance.mdx","Bluetooth Headphones: низкая производительность","Аудио и видео","8","1236","6","276","4","no","body has only 8 non-empty lines; body has only 1236 characters"
"улучшить","60","src/content/errors/audio-video-bluetooth-headphones-not-detected.mdx","Bluetooth Headphones: не определяется системой","Аудио и видео","8","1235","6","271","4","no","body has only 8 non-empty lines; body has only 1235 characters"
"улучшить","60","src/content/errors/audio-video-hdmi-audio-disconnects-randomly.mdx","HDMI Audio: самопроизвольно отключается","Аудио и видео","8","1218","6","269","4","no","body has only 8 non-empty lines; body has only 1218 characters"
"улучшить","60","src/content/errors/audio-video-hdmi-audio-driver-error.mdx","HDMI Audio: ошибка драйвера","Аудио и видео","8","1206","6","277","4","no","body has only 8 non-empty lines; body has only 1206 characters"
"улучшить","60","src/content/errors/audio-video-hdmi-audio-firmware-update-failed.mdx","HDMI Audio: ошибка обновления прошивки","Аудио и видео","8","1217","6","272","4","no","body has only 8 non-empty lines; body has only 1217 characters"
"улучшить","60","src/content/errors/audio-video-hdmi-audio-low-performance.mdx","HDMI Audio: низкая производительность","Аудио и видео","8","1216","6","274","4","no","body has only 8 non-empty lines; body has only 1216 characters"
"улучшить","60","src/content/errors/audio-video-hdmi-audio-not-detected.mdx","HDMI Audio: не определяется системой","Аудио и видео","8","1215","6","269","4","no","body has only 8 non-empty lines; body has only 1215 characters"
"улучшить","60","src/content/errors/audio-video-realtek-audio-disconnects-randomly.mdx","Realtek Audio: самопроизвольно отключается","Аудио и видео","8","1224","6","269","4","no","body has only 8 non-empty lines; body has only 1224 characters"
"улучшить","60","src/content/errors/audio-video-realtek-audio-driver-error.mdx","Realtek Audio: ошибка драйвера","Аудио и видео","8","1212","6","278","4","no","body has only 8 non-empty lines; body has only 1212 characters"
"улучшить","60","src/content/errors/audio-video-realtek-audio-firmware-update-failed.mdx","Realtek Audio: ошибка обновления прошивки","Аудио и видео","8","1223","6","272","4","no","body has only 8 non-empty lines; body has only 1223 characters"
"улучшить","60","src/content/errors/audio-video-realtek-audio-low-performance.mdx","Realtek Audio: низкая производительность","Аудио и видео","8","1222","6","275","4","no","body has only 8 non-empty lines; body has only 1222 characters"
"улучшить","60","src/content/errors/audio-video-realtek-audio-not-detected.mdx","Realtek Audio: не определяется системой","Аудио и видео","8","1221","6","270","4","no","body has only 8 non-empty lines; body has only 1221 characters"
"улучшить","60","src/content/errors/audio-video-usb-microphone-not-detected.mdx","USB Microphone: не определяется системой","Аудио и видео","8","1223","6","270","4","no","body has only 8 non-empty lines; body has only 1223 characters"
"улучшить","60","src/content/errors/bios-bios-nvme-072.mdx","BIOS: не видит NVMe — как исправить","BIOS и UEFI","8","1213","7","275","4","no","body has only 8 non-empty lines; body has only 1213 characters"
"улучшить","60","src/content/errors/bios-bios-secure-boot-068.mdx","BIOS: ошибка Secure Boot — как исправить","BIOS и UEFI","8","1218","7","275","4","no","body has only 8 non-empty lines; body has only 1218 characters"
"улучшить","60","src/content/errors/bios-bios-usb-071.mdx","BIOS: не запускается с USB — как исправить","BIOS и UEFI","8","1220","7","275","4","no","body has only 8 non-empty lines; body has only 1220 characters"
"улучшить","60","src/content/errors/bios-ne-sohranyaet-nastroyki.mdx","BIOS: не сохраняет настройки — как исправить","BIOS и UEFI","8","1222","6","255","4","no","body has only 8 non-empty lines; body has only 1222 characters"
"улучшить","60","src/content/errors/bios-ne-vidit-zagruzochnyy-disk.mdx","BIOS: не видит загрузочный диск — как исправить","BIOS и UEFI","8","1225","6","255","4","no","body has only 8 non-empty lines; body has only 1225 characters"
"улучшить","60","src/content/errors/bios-sbrosilsya-posle-obnovleniya.mdx","BIOS: сбросился после обновления — как исправить","BIOS и UEFI","8","1226","6","255","4","no","body has only 8 non-empty lines; body has only 1226 characters"
"улучшить","60","src/content/errors/bios-secure-boot-secure-boot-074.mdx","Secure Boot: ошибка Secure Boot — как исправить","BIOS и UEFI","8","1232","7","275","4","no","body has only 8 non-empty lines; body has only 1232 characters"
"улучшить","60","src/content/errors/bios-uefi-bios-update-not-detected.mdx","BIOS Update: не определяется системой","BIOS и UEFI","8","1222","6","269","4","no","body has only 8 non-empty lines; body has only 1222 characters"
"улучшить","60","src/content/errors/bios-uefi-nvme-066.mdx","UEFI: не видит NVMe — как исправить","BIOS и UEFI","8","1213","7","275","4","no","body has only 8 non-empty lines; body has only 1213 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-062.mdx","UEFI: ошибка Secure Boot — как исправить","BIOS и UEFI","8","1218","7","275","4","no","body has only 8 non-empty lines; body has only 1218 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-disconnects-randomly.mdx","Secure Boot: самопроизвольно отключается","BIOS и UEFI","8","1225","6","268","4","no","body has only 8 non-empty lines; body has only 1225 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-driver-error.mdx","Secure Boot: ошибка драйвера","BIOS и UEFI","8","1213","6","277","4","no","body has only 8 non-empty lines; body has only 1213 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-firmware-update-failed.mdx","Secure Boot: ошибка обновления прошивки","BIOS и UEFI","8","1224","6","271","4","no","body has only 8 non-empty lines; body has only 1224 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-low-performance.mdx","Secure Boot: низкая производительность","BIOS и UEFI","8","1223","6","273","4","no","body has only 8 non-empty lines; body has only 1223 characters"
"улучшить","60","src/content/errors/bios-uefi-secure-boot-not-detected.mdx","Secure Boot: не определяется системой","BIOS и UEFI","8","1222","6","269","4","no","body has only 8 non-empty lines; body has only 1222 characters"
"улучшить","60","src/content/errors/bios-uefi-tpm-2-0-disconnects-randomly.mdx","TPM 2.0: самопроизвольно отключается","BIOS и UEFI","8","1217","6","267","4","no","body has only 8 non-empty lines; body has only 1217 characters"
"улучшить","60","src/content/errors/bios-uefi-tpm-2-0-driver-error.mdx","TPM 2.0: ошибка драйвера","BIOS и UEFI","8","1205","6","276","4","no","body has only 8 non-empty lines; body has only 1205 characters"
"улучшить","60","src/content/errors/bios-uefi-tpm-2-0-firmware-update-failed.mdx","TPM 2.0: ошибка обновления прошивки","BIOS и UEFI","8","1216","6","270","4","no","body has only 8 non-empty lines; body has only 1216 characters"
"улучшить","60","src/content/errors/bios-uefi-tpm-2-0-low-performance.mdx","TPM 2.0: низкая производительность","BIOS и UEFI","8","1215","6","273","4","no","body has only 8 non-empty lines; body has only 1215 characters"
"улучшить","60","src/content/errors/bios-uefi-tpm-2-0-not-detected.mdx","TPM 2.0: не определяется системой","BIOS и UEFI","8","1214","6","268","4","no","body has only 8 non-empty lines; body has only 1214 characters"
"улучшить","60","src/content/errors/bios-uefi-uefi-boot-order-disconnects-randomly.mdx","UEFI Boot Order: самопроизвольно отключается","BIOS и UEFI","8","1233","6","268","4","no","body has only 8 non-empty lines; body has only 1233 characters"
"улучшить","60","src/content/errors/bios-uefi-uefi-boot-order-driver-error.mdx","UEFI Boot Order: ошибка драйвера","BIOS и UEFI","8","1221","6","277","4","no","body has only 8 non-empty lines; body has only 1221 characters"
"улучшить","60","src/content/errors/bios-uefi-uefi-boot-order-firmware-update-failed.mdx","UEFI Boot Order: ошибка обновления прошивки","BIOS и UEFI","8","1232","6","272","4","no","body has only 8 non-empty lines; body has only 1232 characters"
"улучшить","60","src/content/errors/bios-uefi-uefi-boot-order-low-performance.mdx","UEFI Boot Order: низкая производительность","BIOS и UEFI","8","1231","6","274","4","no","body has only 8 non-empty lines; body has only 1231 characters"
"улучшить","60","src/content/errors/bios-uefi-uefi-boot-order-not-detected.mdx","UEFI Boot Order: не определяется системой","BIOS и UEFI","8","1230","6","269","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/bios-uefi-usb-065.mdx","UEFI: не запускается с USB — как исправить","BIOS и UEFI","8","1220","7","275","4","no","body has only 8 non-empty lines; body has only 1220 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-hripit-zvuk.mdx","Bluetooth headphones: хрипит звук — как исправить","Аудио и видео","8","1238","6","264","4","no","body has only 8 non-empty lines; body has only 1238 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-mikrofon-ne-rabotaet.mdx","Bluetooth headphones: микрофон не работает — как исправить","Аудио и видео","8","1247","6","264","4","no","body has only 8 non-empty lines; body has only 1247 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-net-izobrazheniya.mdx","Bluetooth headphones: нет изображения — как исправить","Аудио и видео","8","1242","6","264","4","no","body has only 8 non-empty lines; body has only 1242 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-net-zvuka.mdx","Bluetooth headphones: нет звука — как исправить","Аудио и видео","8","1236","6","264","4","no","body has only 8 non-empty lines; body has only 1236 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-oshibka-kodeka.mdx","Bluetooth headphones: ошибка кодека — как исправить","Аудио и видео","8","1240","6","264","4","no","body has only 8 non-empty lines; body has only 1240 characters"
"улучшить","60","src/content/errors/bluetooth-headphones-rassinhron-audio-i-video.mdx","Bluetooth headphones: рассинхрон аудио и видео — как исправить","Аудио и видео","8","1251","6","264","4","no","body has only 8 non-empty lines; body has only 1251 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-ne-nabiraet-vodu.mdx","Bosch dishwasher: не набирает воду — как исправить","Посудомоечные машины","8","1272","6","206","4","no","body has only 8 non-empty lines; body has only 1272 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-ne-rastvoryaet-tabletku.mdx","Bosch dishwasher: не растворяет таблетку — как исправить","Посудомоечные машины","8","1278","6","206","4","no","body has only 8 non-empty lines; body has only 1278 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-ne-slivaet-vodu.mdx","Bosch dishwasher: не сливает воду — как исправить","Посудомоечные машины","8","1273","6","207","4","no","body has only 8 non-empty lines; body has only 1273 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-oshibka-nagreva.mdx","Bosch dishwasher: ошибка нагрева — как исправить","Посудомоечные машины","8","1270","6","206","4","no","body has only 8 non-empty lines; body has only 1270 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-ploho-moet-posudu.mdx","Bosch dishwasher: плохо моет посуду — как исправить","Посудомоечные машины","8","1273","6","206","4","no","body has only 8 non-empty lines; body has only 1273 characters"
"улучшить","60","src/content/errors/bosch-dishwasher-techet-snizu.mdx","Bosch dishwasher: течет снизу — как исправить","Посудомоечные машины","8","1267","6","206","4","no","body has only 8 non-empty lines; body has only 1267 characters"
"улучшить","60","src/content/errors/bosch-oven-iskrit-vnutri.mdx","Bosch oven: искрит внутри — как исправить","Микроволновки и духовки","8","1287","6","206","4","no","body has only 8 non-empty lines; body has only 1287 characters"
"улучшить","60","src/content/errors/bosch-oven-ne-greet.mdx","Bosch oven: не греет — как исправить","Микроволновки и духовки","8","1277","6","205","4","no","body has only 8 non-empty lines; body has only 1277 characters"
"улучшить","60","src/content/errors/bosch-oven-ne-vklyuchaetsya.mdx","Bosch oven: не включается — как исправить","Микроволновки и духовки","8","1287","6","206","4","no","body has only 8 non-empty lines; body has only 1287 characters"
"улучшить","60","src/content/errors/bosch-refrigerator-ne-morozit.mdx","Bosch refrigerator: не морозит — как исправить","Холодильники","8","1310","6","211","4","no","body has only 8 non-empty lines; body has only 1310 characters"
"улучшить","60","src/content/errors/bosch-refrigerator-silno-shumit.mdx","Bosch refrigerator: сильно шумит — как исправить","Холодильники","8","1304","6","208","4","no","body has only 8 non-empty lines; body has only 1304 characters"
"улучшить","60","src/content/errors/bosch-refrigerator-techet-voda.mdx","Bosch refrigerator: течет вода — как исправить","Холодильники","8","1310","6","211","4","no","body has only 8 non-empty lines; body has only 1310 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-greetsya-pri-rabote.mdx","Bosch screwdriver: греется при работе — как исправить","Электроинструмент","8","1292","6","208","4","no","body has only 8 non-empty lines; body has only 1292 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-iskrit-dvigatel.mdx","Bosch screwdriver: искрит двигатель — как исправить","Электроинструмент","8","1290","6","208","4","no","body has only 8 non-empty lines; body has only 1290 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-ne-vklyuchaetsya.mdx","Bosch screwdriver: не включается — как исправить","Электроинструмент","8","1287","6","208","4","no","body has only 8 non-empty lines; body has only 1287 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-ne-zaryazhaetsya-akkumulyator.mdx","Bosch screwdriver: не заряжается аккумулятор — как исправить","Электроинструмент","8","1299","6","208","4","no","body has only 8 non-empty lines; body has only 1299 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-teryaet-oboroty.mdx","Bosch screwdriver: теряет обороты — как исправить","Электроинструмент","8","1288","6","208","4","no","body has only 8 non-empty lines; body has only 1288 characters"
"улучшить","60","src/content/errors/bosch-screwdriver-zaedaet-patron.mdx","Bosch screwdriver: заедает патрон — как исправить","Электроинструмент","8","1288","6","208","4","no","body has only 8 non-empty lines; body has only 1288 characters"
"улучшить","60","src/content/errors/bosch-washing-machine-ne-otzhimaet.mdx","Bosch washing machine: не отжимает — как исправить","Стиральные машины","8","1293","6","206","4","no","body has only 8 non-empty lines; body has only 1293 characters"
"улучшить","60","src/content/errors/bosch-washing-machine-ne-slivaet-vodu.mdx","Bosch washing machine: не сливает воду — как исправить","Стиральные машины","8","1299","6","207","4","no","body has only 8 non-empty lines; body has only 1299 characters"
"улучшить","60","src/content/errors/bosch-washing-machine-oshibka-dvertsy.mdx","Bosch washing machine: ошибка дверцы — как исправить","Стиральные машины","8","1295","6","206","4","no","body has only 8 non-empty lines; body has only 1295 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-config-error.mdx","Google Chrome: ошибка конфигурации","Браузеры","8","1230","6","279","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-crashes-after-update.mdx","Google Chrome: вылетает после обновления","Браузеры","8","1236","6","276","4","no","body has only 8 non-empty lines; body has only 1236 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-high-cpu.mdx","Google Chrome: нагружает процессор","Браузеры","8","1230","6","281","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-network-timeout.mdx","Google Chrome: ошибка подключения или тайм-аут","Браузеры","8","1242","6","264","4","no","body has only 8 non-empty lines; body has only 1242 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-permission-denied.mdx","Google Chrome: отказано в доступе","Браузеры","8","1229","6","275","4","no","body has only 8 non-empty lines; body has only 1229 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-sync-failed.mdx","Google Chrome: не синхронизируется","Браузеры","8","1230","6","269","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-update-failed.mdx","Google Chrome: ошибка обновления","Браузеры","8","1228","6","271","4","no","body has only 8 non-empty lines; body has only 1228 characters"
"улучшить","60","src/content/errors/browsers-google-chrome-wont-start.mdx","Google Chrome: не запускается","Браузеры","8","1225","6","267","4","no","body has only 8 non-empty lines; body has only 1225 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-crashes-after-update.mdx","Microsoft Edge: вылетает после обновления","Браузеры","8","1238","6","276","4","no","body has only 8 non-empty lines; body has only 1238 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-high-cpu.mdx","Microsoft Edge: нагружает процессор","Браузеры","8","1232","6","282","4","no","body has only 8 non-empty lines; body has only 1232 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-network-timeout.mdx","Microsoft Edge: ошибка подключения или тайм-аут","Браузеры","8","1244","6","264","4","no","body has only 8 non-empty lines; body has only 1244 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-permission-denied.mdx","Microsoft Edge: отказано в доступе","Браузеры","8","1231","6","275","4","no","body has only 8 non-empty lines; body has only 1231 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-sync-failed.mdx","Microsoft Edge: не синхронизируется","Браузеры","8","1232","6","269","4","no","body has only 8 non-empty lines; body has only 1232 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-update-failed.mdx","Microsoft Edge: ошибка обновления","Браузеры","8","1230","6","272","4","no","body has only 8 non-empty lines; body has only 1230 characters"
"улучшить","60","src/content/errors/browsers-microsoft-edge-wont-start.mdx","Microsoft Edge: не запускается","Браузеры","8","1227","6","267","4","no","body has only 8 non-empty lines; body has only 1227 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-config-error.mdx","Mozilla Firefox: ошибка конфигурации","Браузеры","8","1234","6","279","4","no","body has only 8 non-empty lines; body has only 1234 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-crashes-after-update.mdx","Mozilla Firefox: вылетает после обновления","Браузеры","8","1240","6","277","4","no","body has only 8 non-empty lines; body has only 1240 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-high-cpu.mdx","Mozilla Firefox: нагружает процессор","Браузеры","8","1234","6","282","4","no","body has only 8 non-empty lines; body has only 1234 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-network-timeout.mdx","Mozilla Firefox: ошибка подключения или тайм-аут","Браузеры","8","1246","6","264","4","no","body has only 8 non-empty lines; body has only 1246 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-permission-denied.mdx","Mozilla Firefox: отказано в доступе","Браузеры","8","1233","6","276","4","no","body has only 8 non-empty lines; body has only 1233 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-sync-failed.mdx","Mozilla Firefox: не синхронизируется","Браузеры","8","1234","6","269","4","no","body has only 8 non-empty lines; body has only 1234 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-update-failed.mdx","Mozilla Firefox: ошибка обновления","Браузеры","8","1232","6","272","4","no","body has only 8 non-empty lines; body has only 1232 characters"
"улучшить","60","src/content/errors/browsers-mozilla-firefox-wont-start.mdx","Mozilla Firefox: не запускается","Браузеры","8","1229","6","268","4","no","body has only 8 non-empty lines; body has only 1229 characters"
"улучшить","60","src/content/errors/canon-printer-ne-pechataet.mdx","Canon printer: не печатает — как исправить","Принтеры и сканеры","8","1222","6","262","3","no","body has only 8 non-empty lines; body has only 1222 characters"
"улучшить","60","src/content/errors/canon-printer-ne-vidit-kartridzh.mdx","Canon printer: не видит картридж — как исправить","Принтеры и сканеры","8","1228","6","262","3","no","body has only 8 non-empty lines; body has only 1228 characters"
"улучшить","60","src/content/errors/canon-printer-zastryala-ochered.mdx","Canon printer: застряла очередь — как исправить","Принтеры и сканеры","8","1227","6","262","3","no","body has only 8 non-empty lines; body has only 1227 characters"
"улучшить","60","src/content/errors/chrome-medlenno-zagruzhaet-stranitsy.mdx","Chrome: медленно загружает страницы — как исправить","Браузеры","8","1240","6","256","4","no","body has only 8 non-empty lines; body has only 1240 characters"
"улучшить","60","src/content/errors/chrome-ne-otkryvaet-sayty.mdx","Chrome: не открывает сайты — как исправить","Браузеры","8","1231","6","256","4","no","body has only 8 non-empty lines; body has only 1231 characters"
